# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	STRUCTURE	ALIGNMENT	CROSSIDS
8840	Bola	chopsticks	khɔi³⁵tsɛ̱⁵¹	kh ɔi ³⁵ + ˀts ɛ ⁵¹	i n t + i n t	kh ɔi - ³⁵ + ˀts ɛ ⁵¹	2881 2882
10532	Lashi	chopsticks	tsə̆³³ŋja̱m⁵⁵	ts ə̆ ³³ + ˀŋ j a m ⁵⁵	i n t + i m n c t	ts ə̆ ³³ + ˀŋ j a m ⁵⁵	2882 2883
#
428	Rangoon	cigarette / tobacco	she⁵⁵	sʰ e ⁵⁵	i n t	sʰ e ⁵⁵	2897
2220	Achang_Longchuan	cigarette / tobacco	tshau³¹ʑ̩en³¹	tsʰ au ³¹ + /ʔ ʑ e n ³¹	i n t + i m n c t	tsʰ au ³¹ + /ʔ ʑ e n ³¹	2892 2893
3860	Xiandao	cigarette / tobacco	ɲ̊ɔ³¹	ɲ̊ ɔ ³¹	i n t	ɲ̊ - ɔ ³¹	2894
5360	Atsi	cigarette / tobacco	ŋja̱⁵⁵	ˀŋ j a ⁵⁵	i m n t	ˀŋ j a ⁵⁵	2894
7108	Maru	cigarette / tobacco	tʃhik⁵⁵	tʃh i k ⁵⁵	i n c t	tʃh i k ⁵⁵	10242
8751	Bola	cigarette / tobacco	tʃhɿ³⁵	tʃh ɿ ³⁵	i n t	tʃh ɿ - ³⁵	10242
10454	Lashi	cigarette / tobacco	tshou⁵⁵jɛ̱n⁵⁵	tsh ou ⁵⁵ + ˀ/ʔ j ɛ n ⁵⁵	i n t + i m n c t	tsh ou ⁵⁵ + ˀ/ʔ j ɛ n ⁵⁵	2896 2893
#
904	Rangoon	circle / circular	wɑ̃i⁵⁵	/ʔ w ɑ̃ i ∼ ⁵⁵	i m n N c t	/ʔ w ɑ̃ i ∼ ⁵⁵	2903
2660	Achang_Longchuan	circle / circular	lum³¹	l u m ³¹	i n c t	l u m ³¹	2902
4218	Xiandao	circle / circular	lum³¹	l u m ³¹	i n c t	l u m ³¹	2902
5835	Atsi	circle / circular	liŋ⁵⁵	l i ŋ ⁵⁵	i n c t	l i ŋ ⁵⁵	2902
7535	Maru	circle / circular	laŋ⁵⁵	l a ŋ ⁵⁵	i n c t	l a ŋ ⁵⁵	2902
10863	Lashi	circle / circular	ləːŋ⁵⁵	l əː ŋ ⁵⁵	i n c t	l əː ŋ ⁵⁵	2902
11790	Old_Burmese	circle / circular	lumḥ	l u m ⁵⁵	i n c t	l u m ⁵⁵	2902
#
10085	Bola	circle / circular (spherical) (note:spherical)	laŋ³⁵	l a ŋ ³⁵	i n c t	l a ŋ ³⁵	2910
#
10084	Bola	circle / circular (tubular) (note:circular)	lam³¹	l a m ³¹	i n c t	l a m ³¹	2912
#
1442	Rangoon	circle / hover / wheel	wɛ⁵⁵	/ʔ w ɛ ⁵⁵	i m n t	/ʔ w ɛ ⁵⁵	2918
3155	Achang_Longchuan	circle / hover / wheel	pan³⁵	p a n ³⁵	i n c t	p a n ³⁵	2914
6374	Atsi	circle / hover / wheel	taŋ²¹li̱ŋ⁵¹	t a ŋ ²¹ + ˀl i ŋ ⁵¹	i n c t + i n c t	t a ŋ ²¹ + ˀl i ŋ ⁵¹	6484 358
8013	Maru	circle / hover / wheel	tɔ̃³⁵la̱ŋ³¹	t ɔ̃ ∼ ³⁵ + ˀl a ŋ ³¹	i n c t + i n c t	t ɔ̃ ∼ ³⁵ + ˀl a ŋ ³¹	6484 358
9737	Bola	circle / hover / wheel	la̱ŋ⁵⁵	ˀl a ŋ ⁵⁵	i n c t	ˀl a ŋ ⁵⁵	358
11309	Lashi	circle / hover / wheel	khaːm⁵³	kh aː m ⁵³	i n c t	kh aː m ⁵³	2917
#
1102	Rangoon	clarify / clear up	ɕĩ⁵⁵lĩ⁵⁵	ɕ ĩ ∼ ⁵⁵ + l ĩ ∼ ⁵⁵	i n c t + i n c t	ɕ ĩ ∼ ⁵⁵ + l ĩ ∼ ⁵⁵	14043 2926
6037	Atsi	clarify / clear up	lo̱ʔ⁵⁵san²¹	ˀl o ʔ ⁵⁵ + s a n ²¹	i n c t + i n c t	ˀl o ʔ ⁵⁵ + s a n ²¹	2923 14043
9412	Bola	clarify / clear up	ta̱ŋ³⁵	ˀt a ŋ ³⁵	i n c t	ˀt a ŋ ³⁵	2925
#
834	Rangoon	classifier for age	hniʔ⁴	n̥ i ʔ ⁴	i n c t	n̥ i ʔ ⁴	16931
2590	Achang_Longchuan	classifier for age	n̥ək⁵⁵	n̥ ə k ⁵⁵	i n c t	n̥ ə k ⁵⁵	16931
4157	Xiandao	classifier for age	n̥ɤk⁵⁵	n̥ ɤ k ⁵⁵	i n c t	n̥ ɤ k ⁵⁵	16931
5763	Atsi	classifier for age	tsaŋ⁵¹	ts a ŋ ⁵¹	i n c t	ts a ŋ ⁵¹	2930
7466	Maru	classifier for age	tsəŋ³¹	ts ə ŋ ³¹	i n c t	ts ə ŋ ³¹	2930
9146	Bola	classifier for age	tɛ̃⁵⁵	t ɛ̃ ∼ ⁵⁵	i n c t	t ɛ̃ ∼ ⁵⁵	2930
10793	Lashi	classifier for age	tsan³¹	ts a n ³¹	i n c t	ts a n ³¹	2930
#
810	Rangoon	classifier for age of animals	n̥iʔ⁴tθɑ⁵⁵	n̥ i ʔ ⁴ + tθ ɑ ⁵⁵	i n c t + i n t	n̥ i ʔ ⁴ + tθ ɑ ⁵⁵	16931 2939
2564	Achang_Longchuan	classifier for age of animals	n̥ək⁵⁵	n̥ ə k ⁵⁵	i n c t	n̥ ə k ⁵⁵	16931
4132	Xiandao	classifier for age of animals	n̥ɤk⁵⁵	n̥ ɤ k ⁵⁵	i n c t	n̥ ɤ k ⁵⁵	16931
5736	Atsi	classifier for age of animals	tsan⁵¹	ts a n ⁵¹	i n c t	ts a n ⁵¹	103
7440	Maru	classifier for age of animals	tsəŋ³¹	ts ə ŋ ³¹	i n c t	ts ə ŋ ³¹	103
9120	Bola	classifier for age of animals	tɛ̃⁵⁵	t ɛ̃ ∼ ⁵⁵	i n c t	t ɛ̃ ∼ ⁵⁵	103
10768	Lashi	classifier for age of animals	tsan³¹	ts a n ³¹	i n c t	ts a n ³¹	103
#
1794	Rangoon	classifier for birds	kɑ̃u²²	k ɑ̃ u ∼ ²²	i n N c t	k ɑ̃ u ∼ ²²	2947
3482	Achang_Longchuan	classifier for birds	tu³¹	t u ³¹	i n t	t u ³¹	2946
4935	Xiandao	classifier for birds	tu⁵¹	t u ⁵¹	i n t	t u ⁵¹	2946
6720	Atsi	classifier for birds	tu²¹	t u ²¹	i n t	t u ²¹	2946
8350	Maru	classifier for birds	tau³⁵	t au ³⁵	i n t	t au ³⁵	2946
10080	Bola	classifier for birds	tɔ³¹	t ɔ ³¹	i n t	t ɔ ³¹	2946
11605	Lashi	classifier for birds	tu³³	t u ³³	i n t	t u ³³	2946
#
1795	Rangoon	classifier for books	oʔ⁴	/ʔ o ʔ ⁴	i n c t	/ʔ o ʔ ⁴	2957
3483	Achang_Longchuan	classifier for books	pun⁵⁵	p u n ⁵⁵	i n c t	p u n ⁵⁵	2954
4936	Xiandao	classifier for books	pɤn⁵¹	p ɤ n ⁵¹	i n c t	p ɤ n ⁵¹	2954
6721	Atsi	classifier for books	pap²¹	p a p ²¹	i n c t	p a p ²¹	2955
8351	Maru	classifier for books	pun³¹	p u n ³¹	i n c t	p u n ³¹	2954
10081	Bola	classifier for books	pap³¹	p a p ³¹	i n c t	p a p ³¹	2955
11606	Lashi	classifier for books	puk³¹	/ʔ p u k ³¹	i m n i t	/ʔ p u	2956
#
1739	Rangoon	classifier for bowls	lõ⁵⁵	l õ ∼ ⁵⁵	i n c t	l õ ∼ ⁵⁵	7932
3438	Achang_Longchuan	classifier for bowls	lum³¹	l u m ³¹	i n c t	l u m ³¹	7932
4896	Xiandao	classifier for bowls	lum³¹	l u m ³¹	i n c t	l u m ³¹	7932
6675	Atsi	classifier for bowls	khjap⁵⁵	kʰ j a p ⁵⁵	i m n c t	kʰ j a p ⁵⁵	11585
8306	Maru	classifier for bowls	khjɛʔ⁵⁵	kh j ɛ ʔ ⁵⁵	i m n c t	kh j ɛ ʔ ⁵⁵	11585
10032	Bola	classifier for bowls	khjɛʔ⁵⁵	khj ɛ ʔ ⁵⁵	i n c t	khj - ɛ ʔ ⁵⁵	11585
11565	Lashi	classifier for bowls	khjap⁵⁵	kh j a p ⁵⁵	i m n c t	kh j a p ⁵⁵	11585
#
1748	Rangoon	classifier for bridges	sĩ⁵⁵	s ĩ ∼ ⁵⁵	i n c t	s ĩ ∼ ⁵⁵	2970
3447	Achang_Longchuan	classifier for bridges	tɕam⁵⁵	tɕ a m ⁵⁵	i n c t	tɕ a m ⁵⁵	2970
4903	Xiandao	classifier for bridges	kuŋ⁵⁵	k u ŋ ⁵⁵	i n c t	k u ŋ ⁵⁵	2972
6684	Atsi	classifier for bridges	lu̱m²¹	ˀl u m ²¹	i n c t	ˀl u m ²¹	2979
8315	Maru	classifier for bridges	tsɛ̃³¹	ts ɛ̃ ∼ ³¹	i n c t	ts ɛ̃ ∼ ³¹	2970
10041	Bola	classifier for bridges	tsɛ̃⁵⁵	ts ɛ̃ ∼ ⁵⁵	i n c t	ts ɛ̃ ∼ ⁵⁵	2970
11573	Lashi	classifier for bridges	lɔm³¹	l ɔ m ³¹	i n c t	l ɔ m ³¹	2979
#
1744	Rangoon	classifier for brooms	lɛʔ⁴	l ɛ ʔ ⁴	i n c t	l ɛ ʔ ⁴	2980
3443	Achang_Longchuan	classifier for brooms	khʐap⁵⁵	kʰ ʐ a p ⁵⁵	i m n c t	kʰ ʐ a p ⁵⁵	2978
4900	Xiandao	classifier for brooms	kuŋ⁵⁵	k u ŋ ⁵⁵	i n c t	k u ŋ ⁵⁵	2981
6680	Atsi	classifier for brooms	lu̱m²¹	ˀl u m ²¹	i n c t	ˀl u m ²¹	2979
8311	Maru	classifier for brooms	lam³⁵	l a m ³⁵	i n c t	l a m ³⁵	2979
10037	Bola	classifier for brooms	lam³¹	l a m ³¹	i n c t	l a m ³¹	2979
11569	Lashi	classifier for brooms	lɔm³¹	l ɔ m ³¹	i n c t	l ɔ m ³¹	2979
#
1742	Rangoon	classifier for eggs	lõ⁵⁵	l õ ∼ ⁵⁵	i n c t	l õ ∼ ⁵⁵	7932
3441	Achang_Longchuan	classifier for eggs	lum³¹	l u m ³¹	i n c t	l u m ³¹	7932
4899	Xiandao	classifier for eggs	lum³¹	l u m ³¹	i n c t	l u m ³¹	7932
6678	Atsi	classifier for eggs	tʃham²¹	tʃʰ a m ²¹	i n c t	tʃʰ a m ²¹	2987
8309	Maru	classifier for eggs	tʃhɛʔ⁵⁵	tʃh ɛ ʔ ⁵⁵	i n c t	tʃh ɛ ʔ ⁵⁵	2987
10035	Bola	classifier for eggs	tʃhɛʔ⁵⁵	tʃh ɛ ʔ ⁵⁵	i n c t	tʃh ɛ ʔ ⁵⁵	2987
11568	Lashi	classifier for eggs	tʃham⁵⁵	tʃh a m ⁵⁵	i n c t	tʃh a m ⁵⁵	2987
12055	Old_Burmese	classifier for eggs	lumḥ	l u m ⁵⁵	i n c t	l u m ⁵⁵	7932
#
1761	Rangoon	classifier for flags	tɕhɑʔ⁴	tɕʰ ɑ ʔ ⁴	i n c t	tɕʰ ɑ ʔ ⁴	2998
3460	Achang_Longchuan	classifier for flags	kuŋ⁵⁵	k u ŋ ⁵⁵	i n c t	k u ŋ ⁵⁵	2995
4915	Xiandao	classifier for flags	tʂap⁵⁵	tʂ a p ⁵⁵	i n c t	tʂ a p ⁵⁵	2999
6697	Atsi	classifier for flags	lu̱m²¹	ˀl u m ²¹	i n c t	ˀl u m ²¹	2996
8328	Maru	classifier for flags	luŋ³⁵	l u ŋ ³⁵	i n c t	l u ŋ ³⁵	2996
10054	Bola	classifier for flags	lam³¹	l a m ³¹	i n c t	l a m ³¹	2996
11584	Lashi	classifier for flags	khjap⁵⁵	kh j a p ⁵⁵	i m n c t	kh j a p ⁵⁵	2997
#
1753	Rangoon	classifier for flowers	pwĩ⁵³	p w ĩ ∼ ⁵³	i m n c t	p w ĩ ∼ ⁵³	3003
3452	Achang_Longchuan	classifier for flowers	pɔŋ³¹	p ɔ ŋ ³¹	i n c t	p - ɔ ŋ ³¹	3003
4908	Xiandao	classifier for flowers	phu³¹	ph u ³¹	i n t	ph - u - ³¹	3003
6689	Atsi	classifier for flowers	po⁵⁵	p o ⁵⁵	i n t	p - o - ⁵⁵	3003
8320	Maru	classifier for flowers	pu⁵⁵	p u ⁵⁵	i n t	p - u - ⁵⁵	3003
10046	Bola	classifier for flowers	pɔ³⁵	p ɔ ³⁵	i n t	p - ɔ - ³⁵	3003
11578	Lashi	classifier for flowers	pu⁵⁵	/ʔ p u ⁵⁵	i m n t	/ʔ p u - ⁵⁵	3003
#
799	Rangoon	classifier for garments	thɛ²²	tʰ ɛ ²²	i n t	tʰ ɛ ²²	3013
2554	Achang_Longchuan	classifier for garments	tuŋ³¹	t u ŋ ³¹	i n c t	t u ŋ ³¹	3011
4122	Xiandao	classifier for garments	tuŋ³¹	t u ŋ ³¹	i n c t	t u ŋ ³¹	3011
5727	Atsi	classifier for garments	tuŋ²¹	t u ŋ ²¹	i n c t	t u ŋ ²¹	3011
7430	Maru	classifier for garments	tauŋ⁵⁵	t au ŋ ⁵⁵	i n c t	t au ŋ ⁵⁵	3011
9109	Bola	classifier for garments	khjɛʔ⁵⁵	khj ɛ ʔ ⁵⁵	i n c t	khj - ɛ ʔ ⁵⁵	11585
10760	Lashi	classifier for garments	khjap⁵⁵	kh j a p ⁵⁵	i m n c t	kh j a p ⁵⁵	11585
#
1745	Rangoon	classifier for knives	lɛʔ⁴	l ɛ ʔ ⁴	i n c t	l ɛ ʔ ⁴	3022
3444	Achang_Longchuan	classifier for knives	khʐap⁵⁵	kʰ ʐ a p ⁵⁵	i m n c t	kʰ ʐ a p ⁵⁵	3019
4901	Xiandao	classifier for knives	khʐap⁵⁵	khʐ a p ⁵⁵	i n c t	khʐ - a p ⁵⁵	3019
6681	Atsi	classifier for knives	lu̱m²¹	ˀl u m ²¹	i n c t	ˀl u m ²¹	3020
8312	Maru	classifier for knives	khjɛ³⁵	kh j ɛ ³⁵	i m n t	kh j ɛ - ³⁵	3021
10038	Bola	classifier for knives	khjɛ̃³⁵	khj ɛ̃ ∼ ³⁵	i n c t	khj - ɛ̃ ∼ ³⁵	3021
11570	Lashi	classifier for knives	khjam⁵⁵	kh j a m ⁵⁵	i m n c t	kh j a m ⁵⁵	3021
#
1752	Rangoon	classifier for leaves	jwɛʔ⁴	/ʔ ɥ ɛ ʔ ⁴	i m n c t	/ʔ ɥ ɛ ʔ ⁴	3029
3451	Achang_Longchuan	classifier for leaves	tʂap⁵⁵	tʂ a p ⁵⁵	i n c t	tʂ - a p ⁵⁵	11585
4907	Xiandao	classifier for leaves	khʒap⁵⁵	khʒ a p ⁵⁵	i n c t	khʒ - a p ⁵⁵	11585
6688	Atsi	classifier for leaves	khjap⁵⁵	kʰ j a p ⁵⁵	i m n c t	kʰ j a p ⁵⁵	11585
8319	Maru	classifier for leaves	fɔʔ⁵⁵	f ɔ ʔ ⁵⁵	i n c t	f ɔ ʔ ⁵⁵	3028
10045	Bola	classifier for leaves	khjɛʔ⁵⁵	khj ɛ ʔ ⁵⁵	i n c t	khj - ɛ ʔ ⁵⁵	11585
11577	Lashi	classifier for leaves	fu̱ʔ⁵⁵	ˀf u ʔ ⁵⁵	i n c t	ˀf u ʔ ⁵⁵	3028
#
1762	Rangoon	classifier for letters	sɑ̃u²²	s ɑ̃ u ∼ ²²	i n N c t	s ɑ̃ u ∼ ²²	3037
3461	Achang_Longchuan	classifier for letters	fuŋ³¹	f u ŋ ³¹	i n c t	f u ŋ ³¹	3035
4916	Xiandao	classifier for letters	kuŋ⁵⁵	k u ŋ ⁵⁵	i n c t	k u ŋ ⁵⁵	3038
6698	Atsi	classifier for letters	khjap⁵⁵	kʰ j a p ⁵⁵	i m n c t	kʰ j a p ⁵⁵	3036
8329	Maru	classifier for letters	kja̱m³⁵	ˀk j a m ³⁵	i m n c t	ˀk j a m ³⁵	3036
10055	Bola	classifier for letters	khjɛʔ⁵⁵	khj ɛ ʔ ⁵⁵	i n c t	khj - ɛ ʔ ⁵⁵	3036
#
804	Rangoon	classifier for one of a pair	bɛʔ⁴	b ɛ ʔ ⁴	i n c t	b ɛ ʔ ⁴	3044
2559	Achang_Longchuan	classifier for one of a pair	xuan³¹	x ua n ³¹	i n c t	x ua n ³¹	4718
4127	Xiandao	classifier for one of a pair	kuŋ⁵⁵	k u ŋ ⁵⁵	i n c t	k u ŋ ⁵⁵	4718
5732	Atsi	classifier for one of a pair	te̱²¹	ˀt e ²¹	i n t	ˀt e ²¹	3043
7435	Maru	classifier for one of a pair	tɛ̱³⁵	ˀt ɛ ³⁵	i n t	ˀt ɛ ³⁵	3043
9114	Bola	classifier for one of a pair	tɛ̱³⁵	ˀt ɛ ³⁵	i n t	ˀt ɛ ³⁵	3043
10765	Lashi	classifier for one of a pair	ti̱⁵⁵	ˀt i ⁵⁵	i n t	ˀt i ⁵⁵	3043
#
1749	Rangoon	classifier for pens	tɕhɑ̃u⁵⁵	tɕʰ ɑ̃ u ∼ ⁵⁵	i n N c t	tɕʰ ɑ̃ u ∼ ⁵⁵	3052
3448	Achang_Longchuan	classifier for pens	ʐau³¹	ʐ au ³¹	i n t	ʐ au ³¹	3050
4904	Xiandao	classifier for pens	kuŋ⁵⁵	k u ŋ ⁵⁵	i n c t	k u ŋ ⁵⁵	3053
6685	Atsi	classifier for pens	khat⁵⁵	kʰ a t ⁵⁵	i n c t	kʰ a t ⁵⁵	1332
8316	Maru	classifier for pens	khɛʔ⁵⁵	kh ɛ ʔ ⁵⁵	i n c t	kh ɛ ʔ ⁵⁵	1332
10042	Bola	classifier for pens	khɛʔ⁵⁵	kh ɛ ʔ ⁵⁵	i n c t	kh ɛ ʔ ⁵⁵	1332
11574	Lashi	classifier for pens	khat⁵⁵	kh a t ⁵⁵	i n c t	kh a t ⁵⁵	1332
#
1738	Rangoon	classifier for people	jɑuʔ⁴	/ʔ j ɑ u ʔ ⁴	i m n N c t	/ʔ j ɑ u ʔ ⁴	3058
3437	Achang_Longchuan	classifier for people	ʑuʔ⁵⁵	ʑ u ʔ ⁵⁵	i n c t	ʑ - u - ʔ ⁵⁵	3058
4895	Xiandao	classifier for people	juʔ⁵⁵	/ʔ j u ʔ ⁵⁵	i m n c t	/ʔ j u - ʔ ⁵⁵	3058
6674	Atsi	classifier for people	juʔ²¹	/ʔ j u ʔ ²¹	i m n c t	/ʔ j u - ʔ ²¹	3058
8305	Maru	classifier for people	jauk³¹	/ʔ j au k ³¹	i m n c t	/ʔ j au - k ³¹	3058
10031	Bola	classifier for people	jauʔ³¹	/ʔ j au ʔ ³¹	i m n c t	/ʔ j au - ʔ ³¹	3058
11564	Lashi	classifier for people	ju̥ʔ³¹	/ʔ j u̥ ʔ ³¹	i m n c t	/ʔ j u̥ - ʔ ³¹	3058
#
1740	Rangoon	classifier for river	tθwɛ²²	tθ w ɛ ²²	i m n t	tθ w ɛ ²²	3069
3439	Achang_Longchuan	classifier for river	ʂəŋ⁵⁵	ʂ ə ŋ ⁵⁵	i n c t	ʂ ə ŋ ⁵⁵	3066
4897	Xiandao	classifier for river	khʐa⁵⁵	khʐ a ⁵⁵	i n t	khʐ a ⁵⁵	3070
6676	Atsi	classifier for river	khat⁵⁵	kʰ a t ⁵⁵	i n c t	kʰ a t ⁵⁵	3067
8307	Maru	classifier for river	lɔ̃³¹	l ɔ̃ ∼ ³¹	i n c t	l ɔ̃ ∼ ³¹	8565
10033	Bola	classifier for river	lɔ̃⁵⁵	l ɔ̃ ∼ ⁵⁵	i n c t	l ɔ̃ ∼ ⁵⁵	8565
11566	Lashi	classifier for river	laŋ³¹	l a ŋ ³¹	i n c t	l a ŋ ³¹	8565
#
1751	Rangoon	classifier for rocks, stones	tõ⁵⁵	t õ ∼ ⁵⁵	i n c t	t õ ∼ ⁵⁵	13428
3450	Achang_Longchuan	classifier for rocks, stones	tʂham⁵¹	tʂʰ a m ⁵¹	i n c t	tʂʰ a m ⁵¹	13428
4906	Xiandao	classifier for rocks, stones	lum³¹	l u m ³¹	i n c t	l - u m ³¹	2996
6687	Atsi	classifier for rocks, stones	khji⁵⁵	kʰ j i ⁵⁵	i m n t	kʰ j i ⁵⁵	3075
8318	Maru	classifier for rocks, stones	luŋ³⁵	l u ŋ ³⁵	i n c t	l - u ŋ ³⁵	2996
10044	Bola	classifier for rocks, stones	tʃhɛʔ⁵⁵	tʃh ɛ ʔ ⁵⁵	i n c t	tʃh ɛ ʔ ⁵⁵	3076
11576	Lashi	classifier for rocks, stones	luaŋ³¹	l u a ŋ ³¹	i m n c t	l u a ŋ ³¹	2996
#
816	Rangoon	classifier for rooms	khɑ̃⁵⁵	kʰ ɑ̃ ∼ ⁵⁵	i n c t	kʰ ɑ̃ ∼ ⁵⁵	13050
2570	Achang_Longchuan	classifier for rooms	xɔŋ⁵¹	x ɔ ŋ ⁵¹	i n c t	x ɔ ŋ ⁵¹	13050
4138	Xiandao	classifier for rooms	in⁵⁵	/ʔ i n ⁵⁵	i n c t	/ʔ - i n ⁵⁵	8346
5742	Atsi	classifier for rooms	vap²¹	v a p ²¹	i n c t	v a p ²¹	867
7446	Maru	classifier for rooms	ɣɛʔ³¹	ɣ ɛ ʔ ³¹	i n c t	ɣ ɛ ʔ ³¹	867
9126	Bola	classifier for rooms	ja̱m⁵⁵	ˀ/ʔ j a m ⁵⁵	i m n c t	ˀ/ʔ j a m ⁵⁵	8346
10774	Lashi	classifier for rooms	kɔk³¹	k ɔ k ³¹	i n c t	k ɔ k ³¹	3085
#
1741	Rangoon	classifier for rope	tɕhɑ̃u⁵⁵	tɕʰ ɑ̃ u ∼ ⁵⁵	i n N c t	tɕʰ ɑ̃ u ∼ ⁵⁵	3092
3440	Achang_Longchuan	classifier for rope	khʐəŋ⁵⁵	kʰ ʐ ə ŋ ⁵⁵	i m n c t	kʰ ʐ ə ŋ ⁵⁵	17179
4898	Xiandao	classifier for rope	khɯŋ⁵⁵	kh ɯ ŋ ⁵⁵	i n c t	kh - ɯ ŋ ⁵⁵	17179
6677	Atsi	classifier for rope	khat⁵⁵	kʰ a t ⁵⁵	i n c t	kʰ - a t ⁵⁵	3091
8308	Maru	classifier for rope	khjɛʔ⁵⁵	kh j ɛ ʔ ⁵⁵	i m n c t	kh j ɛ ʔ ⁵⁵	3091
10034	Bola	classifier for rope	khjɛʔ⁵⁵	khj ɛ ʔ ⁵⁵	i n c t	khj - ɛ ʔ ⁵⁵	3091
11567	Lashi	classifier for rope	khat⁵⁵	kh a t ⁵⁵	i n c t	kh - a t ⁵⁵	3091
#
1754	Rangoon	classifier for songs	poʔ⁴	p o ʔ ⁴	i n c t	p o ʔ ⁴	3102
3453	Achang_Longchuan	classifier for songs	xə⁵⁵	x ə ⁵⁵	i n t	x ə ⁵⁵	3098
4909	Xiandao	classifier for songs	xon³¹	x o n ³¹	i n c t	x o n ³¹	3101
6690	Atsi	classifier for songs	lu̱m²¹	ˀl u m ²¹	i n c t	ˀl u m ²¹	3099
8321	Maru	classifier for songs	khɔn⁵⁵	kh ɔ n ⁵⁵	i n c t	kh ɔ n ⁵⁵	3101
10047	Bola	classifier for songs	khɛʔ⁵⁵	kh ɛ ʔ ⁵⁵	i n c t	kh ɛ ʔ ⁵⁵	1332
11579	Lashi	classifier for songs	khat⁵⁵	kh a t ⁵⁵	i n c t	kh a t ⁵⁵	1332
#
1743	Rangoon	classifier for sticks	tɕhɑ̃u⁵⁵	tɕʰ ɑ̃ u ∼ ⁵⁵	i n N c t	tɕʰ ɑ̃ u ∼ ⁵⁵	3108
3442	Achang_Longchuan	classifier for sticks	ʐau⁵¹	ʐ au ⁵¹	i n t	ʐ au ⁵¹	3106
6679	Atsi	classifier for sticks	khat⁵⁵	kʰ a t ⁵⁵	i n c t	kʰ a t ⁵⁵	1332
8310	Maru	classifier for sticks	khɛʔ⁵⁵	kh ɛ ʔ ⁵⁵	i n c t	kh ɛ ʔ ⁵⁵	1332
10036	Bola	classifier for sticks	khɛʔ⁵⁵	kh ɛ ʔ ⁵⁵	i n c t	kh ɛ ʔ ⁵⁵	1332
#
11608	Lashi	classifier for sticks (big) (note:+long)	khat⁵⁵	kh a t ⁵⁵	i n c t	kh a t ⁵⁵	3112
#
11609	Lashi	classifier for sticks (small) (note:+short)	thuŋ⁵⁵	th u ŋ ⁵⁵	i n c t	th u ŋ ⁵⁵	3114
#
1746	Rangoon	classifier for trees	pĩ²²	p ĩ ∼ ²²	i n c t	p ĩ ∼ ²²	3117
3445	Achang_Longchuan	classifier for trees	tseŋ⁵⁵	ts e ŋ ⁵⁵	i n c t	ts e ŋ ⁵⁵	17751
4902	Xiandao	classifier for trees	tʂɯŋ⁵⁵	tʂ ɯ ŋ ⁵⁵	i n c t	tʂ ɯ ŋ ⁵⁵	17751
6682	Atsi	classifier for trees	kam⁵¹	k a m ⁵¹	i n c t	k a m ⁵¹	17751
8313	Maru	classifier for trees	kɛ̃³¹	k ɛ̃ ∼ ³¹	i n c t	k ɛ̃ ∼ ³¹	17751
10039	Bola	classifier for trees	kɛ̃⁵⁵	k ɛ̃ ∼ ⁵⁵	i n c t	k ɛ̃ ∼ ⁵⁵	17751
11571	Lashi	classifier for trees	kam³¹	k a m ³¹	i n c t	k a m ³¹	17751
#
292	Rangoon	claw / talon	tɕhe²²	tɕʰ e ²²	i n t	tɕʰ e ²²	6574
2102	Achang_Longchuan	claw / talon	tɕhi⁵⁵phʐai⁵⁵	tɕʰ i ⁵⁵ + pʰ ʐ ai ⁵⁵	i n t + i m n t	tɕʰ i ⁵⁵ + pʰ ʐ ai ⁵⁵	6574 3125
3754	Xiandao	claw / talon	chi⁵⁵	ch i ⁵⁵	i n t	ch i ⁵⁵	6574
5227	Atsi	claw / talon	san²¹	s a n ²¹	i n c t	s a n ²¹	3126
6990	Maru	claw / talon	khjik⁵⁵saŋ³⁵	kh j i k ⁵⁵ + s a ŋ ³⁵	i m n c t + i n c t	kh j i k ⁵⁵ + s a ŋ ³⁵	3128 3126
8624	Bola	claw / talon	la̱ʔ³¹saŋ³⁵	ˀl a ʔ ³¹ + s a ŋ ³⁵	i n c t + i n c t	ˀl a ʔ ³¹ + s a ŋ ³⁵	3127 3126
10342	Lashi	claw / talon	lɔʔ³¹sə̱ŋ⁵⁵	l ɔ ʔ ³¹ + ˀs ə ŋ ⁵⁵	i n c t + i n c t	l ɔ ʔ ³¹ + ˀs ə ŋ ⁵⁵	3127 3126
11849	Old_Burmese	claw / talon	lak◦sañḥ	l a k ⁴ + s a ɲ ⁵⁵	i n c t + i n c t	l a k ⁴ + s a ɲ ⁵⁵	3127 3126
#
992	Rangoon	clean	tθɑ̃⁵³	tθ ɑ̃ ∼ ⁵³	i n c t	tθ - ɑ̃ ∼ ⁵³	3138
2749	Achang_Longchuan	clean	kʐəŋ³¹	k ʐ ə ŋ ³¹	i m n c t	k ʐ ə ŋ ³¹	3138
4303	Xiandao	clean	kɯŋ³¹	k ɯ ŋ ³¹	i n c t	k - ɯ ŋ ³¹	3138
5925	Atsi	clean	san²¹seŋ⁵¹	s a n ²¹ + s e ŋ ⁵¹	i n c t + i n c t	s - a n ²¹ + s e ŋ ⁵¹	3138 3139
7620	Maru	clean	san³¹	s a n ³¹	i n c t	s - a n ³¹	3138
9304	Bola	clean	san³¹sɛŋ⁵⁵	s a n ³¹ + s ɛ ŋ ⁵⁵	i n c t + i n c t	s - a n ³¹ + s ɛ ŋ ⁵⁵	3138 3140
