ID	TOKENS	CONCEPT	ALIGNMENT	IPA	COUNTERPART	COGID	DOCULECT	NOTE	STRUCTURE	BORROWING
292	h ɛ ŋ s t	*xanxistaz	h ɛ ŋ - ( - ) s t ( - - )	hɛŋst	hengst	81	Dutch			
293	b r uː d i z	*brūdiz	b r uː d ( i z )	bruːdiz	*brūdiz	82	Proto-Germanic		C C V C	
294	b r au t	*brūdiz	b r au t ( - - )	braut	Braut	82	German			
295	b r aɪ d	*brūdiz	b r aɪ d ( - - )	braɪd	bride	82	English			
296	b r œy t	*brūdiz	b r œy t ( - - )	brœyt	bruid	82	Dutch			
297	n eu r oː n	*neurōn	n eu r oː ( n )	neuroːn	*neurōn	83	Proto-Germanic			
298	n iː r ə	*neurōn	n iː r ə ( - )	niːrə	Niere	83	German			
299	n iː r	*neurōn	n iː r - ( - )	niːr	nier	83	Dutch			
300	s p e nː a n a n	*spennanan	s p e nː a n ( a n )	spennanan	*spennanan	84	Proto-Germanic			
301	ʃ p ɪ n ə n	*spennanan	ʃ p ɪ n ə n ( - - )	ʃpɪnən	spinnen	84	German			
302	s p ɪ n	*spennanan	s p ɪ n - - ( - - )	spɪn	spin	84	English			
303	s p ɪ n ə	*spennanan	s p ɪ n ə - ( - - )	spɪnə	spinnen	84	Dutch			
304	x a l s a z	*xalsaz	x a l s ( a z )	xalsaz	*xalsaz	85	Proto-Germanic			
305	h a l s	*xalsaz	h a l s ( - - )	hals	Hals	85	German			
306	h ɑ l s	*xalsaz	h ɑ l s ( - - )	hɑls	hals	85	Dutch			
307	s k e l d u z	*skelduz	s k e l d ( u z )	skelduz	*skelduz	86	Proto-Germanic		C C V C C	
308	ʃ ɪ l d/t	*skelduz	ʃ - ɪ l d/t ( - - )	ʃɪlt	Schild	86	German	BOR		
309	ʃ iː l d	*skelduz	ʃ - iː l d ( - - )	ʃiːld	shield	86	English			
310	s x ɪ l t	*skelduz	s x ɪ l t ( - - )	sxɪlt	schild	86	Dutch			
311	b a lː u z	*balluz	b a lː ( u z )	balluz	*balluz	87	Proto-Germanic			
312	b a l	*balluz	b a l ( - - )	bal	Ball	87	German		C V C	
313	b ɔː l	*balluz	b ɔː l ( - - )	bɔːl	ball	87	English			
314	b ɑ l	*balluz	b ɑ l ( - - )	bɑl	bal	87	Dutch			
315	n i s t a n	*nistan	n i s t ( a n )	nistan	*nistan	88	Proto-Germanic			
316	n ɛ s t	*nistan	n ɛ s t ( - - )	nɛst	Nest	88	German			
317	n ɛ s t	*nistan	n ɛ s t ( - - )	nɛst	nest	88	English			
318	n ɛ s t	*nistan	n ɛ s t ( - - )	nɛst	nest	88	Dutch			
319	s t e r b a n a n	*sterbanan	s t e r b a n a n	sterbanan	*sterbanan	89	Proto-Germanic			
320	ʃ t ɛ r b ə n	*sterbanan	ʃ t ɛ r b ə n - -	ʃtɛrbən	sterben	89	German			
321	s t ɑː v	*sterbanan	s t ɑː - v - - - -	stɑːv	starve	89	English			
322	s t ɛ r v ə	*sterbanan	s t ɛ r v ə - - -	stɛrvə	sterven	89	Dutch			
323	n e w u n	*newun	n e w u n	newun	*newun	90	Proto-Germanic			
324	n ɔy n	*newun	n ɔy - - n	nɔyn	neun	90	German			
325	n aɪ n	*newun	n aɪ - - n	naɪn	nine	90	English			
326	n eː ɣ ə	*newun	n eː ɣ ə -	neːɣə	negen	90	Dutch			
327	t a pː oː n	*tappōn	t a pː oː ( n )	tappoːn	*tappōn	91	Proto-Germanic			
328	ts a pf ə n	*tappōn	ts a pf ə ( n )	t͡sap͡fən	Zapfen	91	German			
329	t æ p	*tappōn	t æ p - ( - )	tæp	tap	91	English			
330	t ɑ p	*tappōn	t ɑ p - ( - )	tɑp	tap	91	Dutch			
331	s a l b oː	*salbō	s a l b oː	salboː	*salbō	92	Proto-Germanic			
332	z a l b ə	*salbō	z a l b ə	zalbə	Salbe	92	German			
333	s æ l v	*salbō	s æ l v -	sælv	salve	92	English			
334	z ɑ l f	*salbō	z ɑ l f -	zɑlf	zalf	92	Dutch			
335	x u n d a z	*xundaz	x u n d ( a z )	xundaz	*xundaz	93	Proto-Germanic			
336	h ʊ n t	*xundaz	h ʊ n d ( - - )	hʊnt	Hund	93	German			
337	h aʊ n d	*xundaz	h aʊ n d ( - - )	haʊnd	hound	93	English			
338	h ɔ n t	*xundaz	h ɔ n t ( - - )	hɔnt	hond	93	Dutch			
339	f u x s a z	*fuxsaz	f u x s ( a z )	fuxsaz	*fuxsaz	94	Proto-Germanic		C V C C	
340	f ʊ k s	*fuxsaz	f ʊ k s ( - - )	fʊks	Fuchs	94	German			
341	f ɔ k s	*fuxsaz	f ɔ k s ( - - )	fɔks	fox	94	English			
342	v ɔ s	*fuxsaz	v ɔ - s ( - - )	vɔs	vos	94	Dutch			
343	x e r d oː	*xerdō	x e r d ( oː )	xerdoː	*xerdō	95	Proto-Germanic		C V C C	
344	h eː r d/t ə	*xerdō	h eː r d/t ( ə )	heːrdə	Herde	95	German	BOR		
345	h ɜː d	*xerdō	h ɜː - d ( - )	hɜːd	herd	95	English			
346	x n iː gʷ a n a n	*xnīgwanan	x n iː gʷ a n ( a n )	xniːgwanan	*xnīgwanan	96	Proto-Germanic			
347	n ai ɡ ə n	*xnīgwanan	- n ai ɡ ə n ( - - )	naiɡən	neigen	96	German			
348	n ɛɪ ɣ ə	*xnīgwanan	- n ɛɪ ɣ ə - ( - - )	nɛɪɣə	neigen	96	Dutch			
349	xʷ oː s t oː n	*xwōstōn	xʷ oː s t ( oː n )	xwoːstoːn	*xwōstōn	97	Proto-Germanic			
350	h ʊ s t ə n	*xwōstōn	h ʊ s t ( ə n )	hʊstən	Husten	97	German			
351	h uː s t	*xwōstōn	h uː s t ( - - )	huːst	hoest	97	Dutch			
352	θ a n k a z	*θankaz	θ a n k ( a z )	θankaz	*θankaz	98	Proto-Germanic			
353	d ɛ ŋ k ə n	*θankaz	d ɛ ŋ k ( ə n )	dɛŋkən	denken	98	German			
354	θ ɪ ŋ k	*θankaz	θ ɪ ŋ k ( - - )	θɪŋk	think	98	English	!		
355	d ɛ ŋ k ə	*θankaz	d ɛ ŋ k ( ə - )	dɛŋkə	denken	98	Dutch	!		
1195	θ a n k a z	*θankaz	θ a n k ( a z )	θankaz	*θankaz	328	Proto-Germanic			
1196	d a ŋ k	*θankaz	d a ŋ k ( - - )	daŋk	Dank	328	German			
1197	θ æ ŋ k s	*θankaz	θ æ ŋ k ( - s )	θæŋks	thanks	328	English	!		
1198	d ɑ ŋ k	*θankaz	d ɑ ŋ k ( - - )	dɑŋk	dank	328	Dutch	!		
356	s t r a w j a n a n	*strawjanan	s t r a w j a n ( a n )	strawjanan	*strawjanan	99	Proto-Germanic			
357	ʃ t r ɔy ə n	*strawjanan	ʃ t r ɔy - - ə n ( - - )	ʃtrɔyən	streuen	99	German			
358	s t r uː	*strawjanan	s t r uː - - - - ( - - )	struː	strew	99	English			
359	s t r oː j ə	*strawjanan	s t r oː - j ə - ( - - )	stroːjə	strooien	99	Dutch			
360	f e d w oː r e z	*fedwōrez	f e ( d w oː ) r ( e z )	fedwoːrez	*fedwōrez	100	Proto-Germanic		C V C	
361	f iː r	*fedwōrez	f iː ( - - - ) r ( - - )	fiːr	vier	100	German			
362	f ɔː r	*fedwōrez	f ɔː ( - - - ) r ( - - )	fɔːr	four	100	English			
363	v iː r	*fedwōrez	v iː ( - - - ) r ( - - )	viːr	vier	100	Dutch			
364	s p e r u	*speru	s p e r ( u )	speru	*speru	101	Proto-Germanic			
365	ʃ p eː r	*speru	ʃ p eː r ( - )	ʃpeːr	Speer	101	German			
366	s p ɪə r	*speru	s p ɪə r ( - )	spɪər	spear	101	English			
367	s p eː r	*speru	s p eː r ( - )	speːr	speer	101	Dutch			
368	l au g oː	*laugō	l au g oː	laugoː	*laugō	102	Proto-Germanic		C V C	
369	l au ɡ ə	*laugō	l au ɡ ə	lauɡə	Lauge	102	German			
370	l aɪ	*laugō	l aɪ - -	laɪ	lye	102	English			
371	l oː x	*laugō	l oː x -	loːx	loog	102	Dutch			
372	x u n a g a n	*xunagan	x u n a g ( a n )	xunagan	*xunagan	103	Proto-Germanic			
373	h oː n ɪ x	*xunagan	h oː n ɪ x ( - - )	hoːnɪx	Honig	103	German			
374	h ʌ n ɪ	*xunagan	h ʌ n ɪ - ( - - )	hʌnɪ	honey	103	English			
375	h oː n ɪ ŋ	*xunagan	h oː n ɪ - ( - ŋ )	hoːnɪŋ	honing	103	Dutch			
376	m e d j a z	*medjaz	m e d j ( a z )	medjaz	*medjaz	104	Proto-Germanic		C V c c	
377	m ɪ t ə	*medjaz	m ɪ t - ( ə - )	mɪtə	Mitte	104	German			
378	m ɪ d ə	*medjaz	m ɪ d - ( ə - )	mɪdə	midden	104	Dutch			
379	b u r oː j a n a n	*burōjanan	b u r ( oː ) j a n ( a n )	buroːjanan	*burōjanan	105	Proto-Germanic		C V c c v c	
380	b oː r ə n	*burōjanan	b oː r ( - ) - ə n ( - - )	boːrən	bohren	105	German			
381	b ɔː r	*burōjanan	b ɔː r ( - ) - - - ( - - )	bɔːr	bore	105	English			
382	b oː r ə	*burōjanan	b oː r ( - ) - ə - ( - - )	boːrə	boren	105	Dutch			
383	x a g j a z	*xagjaz	x a g j ( a z )	xagjaz	*xagjaz	106	Proto-Germanic			
384	h ɛ k ə	*xagjaz	h ɛ k - ( ə - )	hɛkə	Hecke	106	German			
385	h ɛ ʤ	*xagjaz	h ɛ ʤ - ( - - )	hɛʤ	hedge	106	English			
386	h ɛ x	*xagjaz	h ɛ x - ( - - )	hɛx	heg	106	Dutch			
387	b u r d i z	*burdiz	( - - ) b u r d ( i z )	burdiz	*burdiz	107	Proto-Germanic		C V C C	
388	ɡ ə b uː r t	*burdiz	( ɡ ə ) b uː r t ( - - )	ɡəbuːrt	Geburt	107	German			
389	b ɜː θ	*burdiz	( - - ) b ɜː - θ ( - - )	bɜːθ	birth	107	English			
390	x ə b oː r t ə	*burdiz	( x ə ) b oː r t ( ə - )	xəboːrtə	geboorte	107	Dutch			
391	x a n d u z	*xanduz	x a n d ( u z )	xanduz	*xanduz	108	Proto-Germanic			
392	h a n t	*xanduz	h a n d ( - - )	hant	Hand	108	German			
393	h æ n d	*xanduz	h æ n d ( - - )	hænd	hand	108	English			
394	h ɑ n t	*xanduz	h ɑ n t ( - - )	hɑnt	hand	108	Dutch			
395	d r au m a z	*draumaz	d r au m ( a z )	draumaz	*draumaz	109	Proto-Germanic		C C V C	
396	t r au m	*draumaz	t r au m ( - - )	traum	Traum	109	German			
397	d r iː m	*draumaz	d r iː m ( - - )	driːm	dream	109	English			
398	d r oː m	*draumaz	d r oː m ( - - )	droːm	droom	109	Dutch			
399	w eː g i z	*wēgiz	w eː g i ( z )	weːgiz	*wēgiz	110	Proto-Germanic			
400	v aː ɡ ə	*wēgiz	v aː ɡ ə ( - )	vaːɡə	Waage	110	German			
401	ʋ aː x	*wēgiz	ʋ aː x - ( - )	ʋaːx	waag	110	Dutch			
402	l a θ oː j a n a n	*laθōjanan	l a θ ( oː ) j a n ( a n )	laθoːjanan	*laθōjanan	111	Proto-Germanic		C V c c v c	
403	l aː d ə n	*laθōjanan	l aː d ( - ) - ə n ( - - )	laːdən	laden	111	German			
404	l eɪ d	*laθōjanan	l eɪ d ( - ) - - - ( - - )	leɪd	lade	111	English			
405	l aː d ə	*laθōjanan	l aː d ( - ) - ə - ( - - )	laːdə	laden	111	Dutch			
406	d eu z a n	*deuzan	d eu z ( a n )	deuzan	*deuzan	112	Proto-Germanic		C V C	
407	t iː r	*deuzan	t iː r ( - - )	tiːr	Tier	112	German			
408	d ɪə r	*deuzan	d ɪə r ( - - )	dɪər	deer	112	English			
409	d iː r	*deuzan	d iː r ( - - )	diːr	dier	112	Dutch			
410	w a l a z	*walaz	w a l ( a z )	walaz	*walaz	113	Proto-Germanic			
411	v aː l	*walaz	v aː l ( - - )	vaːl	Wal	113	German			
412	ʋ eɪ l	*walaz	ʋ eɪ l ( - - )	ʋeɪl	whale	113	English			
413	ʋ ɑ l	*walaz	ʋ ɑ l ( - - )	ʋɑl	wal	113	Dutch			
414	s p eː n u z	*spēnuz	s p eː n ( u z )	speːnuz	*spēnuz	114	Proto-Germanic			
415	ʃ p aː n	*spēnuz	ʃ p aː n ( - - )	ʃpaːn	Span	114	German			
416	s p uː n	*spēnuz	s p uː n ( - - )	spuːn	spoon	114	English			
417	s p aː n	*spēnuz	s p aː n ( - - )	spaːn	spaan	114	Dutch			
418	eː d r o	*ēdro	eː d - r ( o )	eːdro	*ēdro	115	Proto-Germanic		V C - C	
419	aː d ə r	*ēdro	aː d ə r ( - )	aːdər	Ader	115	German	IRR		
420	aː d ə r	*ēdro	aː d ə r ( - )	aːdər	ader	115	Dutch			
421	k e r n oː n	*kernōn	k e r n oː n	kernoːn	*kernōn	116	Proto-Germanic		C V C c v v	
422	k ɛ r n	*kernōn	k ɛ r - - n	kɛrn	Kern	116	German			
423	k ɛ r n	*kernōn	k ɛ r - - n	kɛrn	kern	116	Dutch			
424	θ uː s + u n d iː	*θūs-undī	θ uː s ( + ) u n d ( iː )	θuːs+undiː	*θūs-undī	117	Proto-Germanic		C V C v c c	
425	t au z ə n d	*θūs-undī	t au z ( - ) ə n d ( - )	tauzənt	tausend	117	German			
426	θ aʊ z ə n d	*θūs-undī	θ aʊ z ( - ) ə n d ( - )	θaʊzṇd	thousand	117	English			
427	d œy z ə n t	*θūs-undī	d œy z ( - ) ə n t ( - )	dœyzənt	duizend	117	Dutch			
428	n a b l oː n	*nablōn	n a b - l ( oː n )	nabloːn	*nablōn	118	Proto-Germanic		C V C - C	
429	n aː b ə l	*nablōn	n aː b ə l ( - - )	naːbəl	Nabel	118	German			
430	n eɪ v ə l	*nablōn	n eɪ v ə l ( - - )	neɪvḷ	navel	118	English			
431	n aː v ə l	*nablōn	n aː v ə l ( - - )	naːvəl	navel	118	Dutch			
432	x u l t a n	*xultan	x u l t ( a n )	xultan	*xultan	119	Proto-Germanic			
433	h ɔ l ts	*xultan	h ɔ l ts ( - - )	hɔlt͡s	Holz	119	German			
434	h ɑu t	*xultan	h ɑu - t ( - - )	hɑut	hout	119	Dutch			
435	x a m a r a z	*xamaraz	x a m a r ( a z )	xamaraz	*xamaraz	120	Proto-Germanic			
436	h a m ə r	*xamaraz	h a m ə r ( - - )	hamər	Hammer	120	German			
437	h æ m ə r	*xamaraz	h æ m ə r ( - - )	hæmər	hammer	120	English			
438	h aː m ə r	*xamaraz	h aː m ə r ( - - )	haːmər	hamer	120	Dutch			
439	s t iː g a n a n	*stīganan	s t iː g a n ( a n )	stiːganan	*stīganan	121	Proto-Germanic			
440	ʃ t ai ɡ ə n	*stīganan	ʃ t ai ɡ ə n ( - - )	ʃtaiɡən	steigen	121	German			
441	s t ɛɪ ɣ ə	*stīganan	s t ɛɪ ɣ ə - ( - - )	stɛɪɣə	stijgen	121	Dutch			
442	f a l θ a n a n	*falθanan	f a l θ a n ( a n )	falθanan	*falθanan	122	Proto-Germanic		C V C c v c	
443	f a l t ə n	*falθanan	f a l t ə n ( - - )	faltən	falten	122	German			
444	f əʊ l d	*falθanan	f əʊ l d - - ( - - )	fəʊld	fold	122	English			
445	v ɑu ʋ	*falθanan	v ɑu ʋ - ə - ( - - )	vɑuʋ	vouw	122	Dutch	NC		
446	s t e l t j oː n	*steltjōn	s t e l t j oː ( n )	steltjoːn	*steltjōn	123	Proto-Germanic			
447	ʃ t ɛ l ts ə	*steltjōn	ʃ t ɛ l ts - ə ( - )	ʃtɛlt͡sə	Stelze	123	German			
448	s t ɪ l t	*steltjōn	s t ɪ l t - - ( - )	stɪlt	stilt	123	English			
449	s t ɛ l t	*steltjōn	s t ɛ l t - - ( - )	stɛlt	stelt	123	Dutch			
450	x a r m a z	*xarmaz	x a r m ( a z )	xarmaz	*xarmaz	124	Proto-Germanic			
451	h a r m	*xarmaz	h a r m ( - - )	harm	Harm	124	German			
452	h ɑː m	*xarmaz	h ɑː - m ( - - )	hɑːm	harm	124	English			
453	f r u s t a n	*frustan	f r u - s t ( a n )	frustan	*frustan	125	Proto-Germanic		C C V - C C	
454	f r ɔ s t	*frustan	f r ɔ - s t ( - - )	frɔst	Frost	125	German			
455	f r ɔ s t	*frustan	f r ɔ - s t ( - - )	frɔst	frost	125	English			
456	v ɔ r s t	*frustan	v - ɔ r s t ( - - )	vɔrst	vorst	125	Dutch			
457	s t e l a n a n	*stelanan	s t e l a n ( a n )	stelanan	*stelanan	126	Proto-Germanic			
458	ʃ t eː l ə n	*stelanan	ʃ t eː l ə n ( - - )	ʃteːlən	stehlen	126	German			
459	s t iː l	*stelanan	s t iː l - - ( - - )	stiːl	steal	126	English			
460	s t eː l ə	*stelanan	s t eː l ə - ( - - )	steːlə	stelen	126	Dutch			
461	f a r n a n	*farnan	f a r n ( a n )	farnan	*farnan	127	Proto-Germanic		C V C C	
462	f a r n	*farnan	f a r n ( - - )	farn	Farn	127	German			
463	f ɜː n	*farnan	f ɜː - n ( - - )	fɜːn	fern	127	English			
464	v aː r ə	*farnan	v aː r - ( ə - )	vaːrə	varen	127	Dutch			
465	n a t j a n	*natjan	n a t j ( a n )	natjan	*natjan	128	Proto-Germanic			
466	n ɛ ts	*natjan	n ɛ ts - ( - - )	nɛt͡s	Netz	128	German			
467	n ɛ t	*natjan	n ɛ t - ( - - )	nɛt	net	128	English			
468	n ɛ t	*natjan	n ɛ t - ( - - )	nɛt	net	128	Dutch			
469	b a r w oː n	*barwōn	b a r ( w oː n )	barwoːn	*barwōn	129	Proto-Germanic			
470	b aː r ə	*barwōn	b aː r ( - ə - )	baːrə	Bahre	129	German		C V C	
471	b ɪə r	*barwōn	b ɪə r ( - - - )	bɪər	bier	129	English			
472	b aː r	*barwōn	b aː r ( - - - )	baːr	baar	129	Dutch			
473	d a m p a z	*dampaz	d a m p ( a z )	dampaz	*dampaz	130	Proto-Germanic		C V C C	
474	d/t a m pf	*dampaz	d/t a m pf ( - - )	damp͡f	Dampf	130	German	BOR		
475	d ɑ m p	*dampaz	d ɑ m p ( - - )	dɑmp	damp	130	Dutch			
476	x e l p oː	*xelpō	x e l p oː	xelpoː	*xelpō	131	Proto-Germanic			
477	h ɪ l f ə	*xelpō	h ɪ l f ə	hɪlfə	Hilfe	131	German			
478	h ɛ l p	*xelpō	h ɛ l p -	hɛlp	help	131	English			
479	h ʉ l p	*xelpō	h ʉ l p -	hʉlp	hulp	131	Dutch			
480	n au d i z	*naudiz	n au d ( i z )	naudiz	*naudiz	132	Proto-Germanic			
481	n oː t	*naudiz	n oː t ( - - )	noːt	Not	132	German			
482	n iː d	*naudiz	n iː d ( - - )	niːd	need	132	English			
483	n oː t	*naudiz	n oː t ( - - )	noːt	nood	132	Dutch			
484	x e n d j oː	*xendjō	x e n d j oː	xendjoː	*xendjō	133	Proto-Germanic			
485	h ɪ n d ə	*xendjō	h ɪ n d - ə	hɪndə	Hinde	133	German			
486	h aɪ n d	*xendjō	h aɪ n d - -	haɪnd	hind	133	English			
487	h ɪ n d ə	*xendjō	h ɪ n d - ə	hɪndə	hinde	133	Dutch			
488	x a s l a z	*xaslaz	x a s - l ( a z )	xaslaz	*xaslaz	134	Proto-Germanic			
489	h aː z ə l	*xaslaz	h aː z ə l ( - - )	haːzəl	Hasel	134	German			
490	h eɪ z ə l	*xaslaz	h eɪ z ə l ( - - )	heɪzḷ	hazel	134	English			
491	h aː z ə l aː r	*xaslaz	h aː z ə l ( aː r )	haːzəlaːr	hazelaar	134	Dutch			
492	s t r a n g i z	*strangiz	s t r a n g ( i z )	strangiz	*strangiz	135	Proto-Germanic			
493	ʃ t r a ŋ	*strangiz	ʃ t r a ŋ - ( - - )	ʃtraŋ	Strang	135	German			
494	s t r ɪ ŋ	*strangiz	s t r ɪ ŋ - ( - - )	strɪŋ	string	135	English			
495	s t r ɛ ŋ	*strangiz	s t r ɛ ŋ - ( - - )	strɛŋ	streng	135	Dutch			
496	r uː m a n	*rūman	r uː m ( a n )	ruːman	*rūman	136	Proto-Germanic			
497	r au m	*rūman	r au m ( - - )	raum	Raum	136	German			
498	r uː m	*rūman	r uː m ( - - )	ruːm	room	136	English			
499	r œy m	*rūman	r œy m ( - - )	rœym	ruim	136	Dutch			
500	b r e k a n a n	*brekanan	b r e k a n ( a n )	brekanan	*brekanan	137	Proto-Germanic		C C V c v c	
501	b r ɛ x ə n	*brekanan	b r ɛ x ə n ( - - )	brɛxən	brechen	137	German			
502	b r eɪ k	*brekanan	b r eɪ k - - ( - - )	breɪk	break	137	English			
503	b r eː k ə	*brekanan	b r eː k ə - ( - - )	breːkə	breken	137	Dutch			
1513	b r o k a n	*brekanan	b r o k ( a n )	brekanan	*brekanan	415	Proto-Germanic		C C V C	
1514	b r ʊ x	*brekanan	b r ʊ x ( - - )	brʊx	Bruch	415	German			
1515	b r ʊ k	*brekanan	b r ʊ k ( - - )	brʊk	breeches	415	English			
1516	b r uː k	*brekanan	b r uː k ( - - )	bruːk	broek	415	Dutch			
504	w o k r a z	*wokraz	w o k - r ( a z )	wokraz	*wokraz	138	Proto-Germanic			
505	v uː x ə r	*wokraz	v uː x ə r ( - - )	vuːxər	Wucher	138	German			
506	ʋ uː k ə r	*wokraz	ʋ uː k ə r ( - - )	ʋuːkər	woeker	138	Dutch			
507	u t r a z	*utraz	u t - r ( a z )	utraz	*utraz	139	Proto-Germanic			
508	ɔ t ə r	*utraz	ɔ t ə r ( - - )	ɔtər	Otter	139	German			
509	æ d ə r	*utraz	æ d ə r ( - - )	ædər	adder	139	English			
510	ɑ d ə r	*utraz	ɑ d ə r ( - - )	ɑdər	adder	139	Dutch			
511	s au m a z	*saumaz	s au m ( a z )	saumaz	*saumaz	140	Proto-Germanic			
512	z au m	*saumaz	z au m ( - - )	zaum	Saum	140	German			
513	s iː m	*saumaz	s iː m ( - - )	siːm	seam	140	English			
514	z oː m	*saumaz	z oː m ( - - )	zoːm	zoom	140	Dutch			
515	l iː k a n	*līkan	l iː k ( a n )	liːkan	*līkan	141	Proto-Germanic		C V C 	
516	l ai x ə	*līkan	l ai x ( ə - )	laixə	Leiche	141	German			
517	l ɛɪ k	*līkan	l ɛɪ k ( - - )	lɛɪk	lijk	141	Dutch			
518	b a nː a n	*bannan	b a nː ( a n )	bannan	*bannan	142	Proto-Germanic			
519	b a n	*bannan	b a n ( - - )	ban	Bann	142	German		C V C	
520	b æ n	*bannan	b æ n ( - - )	bæn	ban	142	English			
521	b ɑ n	*bannan	b ɑ n ( - - )	bɑn	ban	142	Dutch			
522	s p a n g oː	*spangō	s p a n g ( oː )	spangoː	*spangō	143	Proto-Germanic			
523	ʃ p a ŋ ə	*spangō	ʃ p a ŋ - ( ə )	ʃpaŋə	Spange	143	German			
524	s p ɑ ŋ	*spangō	s p ɑ ŋ - ( - )	spɑŋ	spang	143	Dutch			
525	l eu x t j a n a n	*leuxtjanan	l eu x t j a n ( a n )	leuxtjanan	*leuxtjanan	144	Proto-Germanic		C V C c c v c	
526	l ɔy x t ə n	*leuxtjanan	l ɔy x t - ə n ( - - )	lɔyxtən	leuchten	144	German			
527	l aɪ t	*leuxtjanan	l aɪ - t - - - ( - - )	laɪt	light	144	English			
528	l ɪ x t ə	*leuxtjanan	l ɪ x t - ə - ( - - )	lɪxtə	lichten	144	Dutch			
529	x a n d l oː j a n a n	*xandlōjanan	x a n d - l ( oː j a n a n )	xandloːjanan	*xandlōjanan	145	Proto-Germanic			
530	h a n d ə l n	*xandlōjanan	h a n d ə l ( - n - - - - )	handəln	handeln	145	German			
531	h æ n d ə l	*xandlōjanan	h æ n d ə l ( - - - - - - )	hændḷ	handle	145	English			
532	h ɑ n d ə l ə	*xandlōjanan	h ɑ n d ə l ( ə - - - - - )	hɑndələ	handelen	145	Dutch			
533	l ai s t j a n a n	*laistjanan	l ai s t j a n ( a n )	laistjanan	*laistjanan	146	Proto-Germanic		C V C c c v c	
534	l ai s t ə n	*laistjanan	l ai s t - ə n ( - - )	laistən	leisten	146	German			
535	l ɑː s t	*laistjanan	l ɑː s t - - - ( - - )	lɑːst	last	146	English			
536	k n u pː a z	*knuppaz	k n u pː ( a z )	knuppaz	*knuppaz	147	Proto-Germanic		C C V C	
537	k n ɔ pf	*knuppaz	k n ɔ pf ( - - )	knɔp͡f	Knopf	147	German			
538	n ɔ b	*knuppaz	- n ɔ b ( - - )	nɔb	knob	147	English			
539	k n oː p	*knuppaz	k n oː p ( - - )	knoːp	knoop	147	Dutch			
540	s t eː n a n	*stēnan	s t eː - n ( a n )	steːnan	*stēnan	148	Proto-Germanic			
541	ʃ t eː ə n	*stēnan	ʃ t eː ə n ( - - )	ʃteːən	stehen	148	German			
542	s t aː n	*stēnan	s t aː - n ( - - )	staːn	staan	148	Dutch			
543	b eu d a n a n	*beudanan	b eu d a n ( a n )	beudanan	*beudanan	149	Proto-Germanic		C V c v c	
544	b iː t ə n	*beudanan	b iː t ə n ( - - )	biːtən	bieten	149	German			
545	b ɪ d	*beudanan	b ɪ d - - ( - - )	bɪd	bid	149	English			
546	b iː d ə	*beudanan	b iː d ə - ( - - )	biːdə	bieden	149	Dutch			
547	θ u n r a z	*θunraz	θ u n - - r ( a z )	θunraz	*θunraz	150	Proto-Germanic			
548	d ɔ n ə r	*θunraz	d ɔ n - ə r ( - - )	dɔnər	Donner	150	German			
549	θ ʌ n d ə r	*θunraz	θ ʌ n d ə r ( - - )	θʌndər	thunder	150	English			
550	d ɔ n d ə r	*θunraz	d ɔ n d ə r ( - - )	dɔndər	donder	150	Dutch			
551	s k u m a n	*skuman	s k u m ( a n )	skuman	*skuman	151	Proto-Germanic			
552	ʃ au m	*skuman	ʃ - au m ( - - )	ʃaum	Schaum	151	German			
553	s x œy m	*skuman	s x œy m ( - - )	sxœym	schuim	151	Dutch			
554	k l e m b a n a n	*klembanan	k l e m b a n ( a n )	klembanan	*klembanan	152	Proto-Germanic		C C V C c v c	
555	k l ɪ m ə n	*klembanan	k l ɪ m - ə n ( - - )	klɪmən	klimmen	152	German			
556	k l aɪ m	*klembanan	k l aɪ m - - - ( - - )	klaɪm	climb	152	English			
557	k l ɪ m ə	*klembanan	k l ɪ m - ə - ( - - )	klɪmə	klimmen	152	Dutch			
558	r a s t oː	*rastō	r a s t ( oː )	rastoː	*rastō	153	Proto-Germanic			
559	r a s t	*rastō	r a s t ( - )	rast	Rast	153	German			
560	r ɛ s t	*rastō	r ɛ s t ( - )	rɛst	rest	153	English			
561	g a r n a n	*garnan	g a r n ( a n )	garnan	*garnan	154	Proto-Germanic		C v C C	
562	ɡ a r n	*garnan	ɡ a r n ( - - )	ɡarn	Garn	154	German			
563	j ɑː n	*garnan	j ɑː - n ( - - )	jɑːn	yarn	154	English			
564	x aː r ə	*garnan	x aː r - ( ə - )	xaːrə	garen	154	Dutch			
565	x ai θ i z	*xaiθiz	x ai θ i ( z )	xaiθiz	*xaiθiz	155	Proto-Germanic			
566	h ai d ə	*xaiθiz	h ai d ə ( - )	haidə	Heide	155	German			
567	h iː θ	*xaiθiz	h iː θ - ( - )	hiːθ	heath	155	English			
568	s p a nː oː	*spannō	s p a nː ( oː )	spannoː	*spannō	156	Proto-Germanic			
569	ʃ p a n ə	*spannō	ʃ p a n ( ə )	ʃpanə	Spanne	156	German			
570	s p æ n	*spannō	s p æ n ( - )	spæn	span	156	English			
571	n a t i l oː n	*natilōn	n a t i l ( oː n )	natiloːn	*natilōn	157	Proto-Germanic			
572	n ɛ s ə l	*natilōn	n ɛ s ə l ( - - )	nɛsəl	Nessel	157	German			
573	n ɛ t ə l	*natilōn	n ɛ t ə l ( - - )	nɛtḷ	nettle	157	English			
