# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	STRUCTURE	ALIGNMENT	CROSSIDS
6635	Atsi	cook / boil	1684	tʃo̱ʔ⁵⁵	ˀtʃ o ʔ ⁵⁵	i n c t	ˀtʃ o ʔ ⁵⁵	3620
8266	Maru	cook / boil	1684	tʃɔ̱ʔ⁵⁵	ˀtʃ ɔ ʔ ⁵⁵	i n c t	ˀtʃ ɔ ʔ ⁵⁵	3620
9994	Bola	cook / boil	1684	tʃaʔ⁵⁵	tʃ a ʔ ⁵⁵	i n c t	tʃ a ʔ ⁵⁵	3620
11528	Lashi	cook / boil	1684	tʃa̱ːu⁵³	ˀtʃ aːu ⁵³	i n t	ˀtʃ aːu ⁵³	3621
#
1534	Rangoon	cooked, be (rice) / done	1521	tɕɛʔ⁴	tɕ ɛ ʔ ⁴	i n c t	tɕ - ɛ ʔ ⁴	3627
3245	Achang_Longchuan	cooked, be (rice) / done	1521	tʂuaʔ⁵⁵	tʂ ua ʔ ⁵⁵	i n c t	tʂ - ua ʔ ⁵⁵	3627
4716	Xiandao	cooked, be (rice) / done	1521	tʂɔʔ⁵⁵	tʂ ɔ ʔ ⁵⁵	i n c t	tʂ - ɔ ʔ ⁵⁵	3627
6468	Atsi	cooked, be (rice) / done	1521	ŋjoʔ²¹	ŋ j o ʔ ²¹	i m n c t	ŋ j o ʔ ²¹	3627
8104	Maru	cooked, be (rice) / done	1521	ŋjɔʔ³¹	ŋ j ɔ ʔ ³¹	i m n c t	ŋ j ɔ ʔ ³¹	3627
9830	Bola	cooked, be (rice) / done	1521	ŋjaʔ³¹	ŋ j a ʔ ³¹	i m n c t	ŋ j a ʔ ³¹	3627
11393	Lashi	cooked, be (rice) / done	1521	ŋjɔːʔ³¹	ŋ j ɔː ʔ ³¹	i m n c t	ŋ j ɔː ʔ ³¹	3627
#
974	Rangoon	cool, pleasantly	970	e⁵⁵mjɑ⁵³	/ʔ e ⁵⁵ + m j ɑ ⁵³	i n t + i m n t	/ʔ e ⁵⁵ + m j ɑ ⁵³	3638 3639
2732	Achang_Longchuan	cool, pleasantly	970	liaŋ³⁵	l i a ŋ ³⁵	i m n c t	l i a ŋ ³⁵	3635
4286	Xiandao	cool, pleasantly	970	lɛŋ³⁵	l ɛ ŋ ³⁵	i n c t	l - ɛ ŋ ³⁵	3635
5907	Atsi	cool, pleasantly	970	ŋam⁵⁵	ŋ a m ⁵⁵	i n c t	ŋ a m ⁵⁵	3636
7602	Maru	cool, pleasantly	970	ŋəŋ⁵⁵	ŋ ə ŋ ⁵⁵	i n c t	ŋ ə ŋ ⁵⁵	3636
9286	Bola	cool, pleasantly	970	tʃhɛ̃³⁵	tʃh ɛ̃ ∼ ³⁵	i n c t	tʃh ɛ̃ ∼ ³⁵	3637
#
1791	Rangoon	copper (note:+red)	1774	tɕe⁵⁵	tɕ e ⁵⁵	i n t	tɕ e ⁵⁵	3645
3480	Achang_Longchuan	copper (note:+red)	1774	tɔŋ⁵⁵	t ɔ ŋ ⁵⁵	i n c t	t ɔ ŋ ⁵⁵	3643
6716	Atsi	copper (note:+red)	1774	kji²¹	k j i ²¹	i m n t	k j i - ²¹	3644
8348	Maru	copper (note:+red)	1774	kjik⁵⁵	k j i k ⁵⁵	i m n c t	k j i k ⁵⁵	3644
10078	Bola	copper (note:+red)	1774	kji³¹	k j i ³¹	i m n t	k j i - ³¹	3644
11603	Lashi	copper (note:+red)	1774	kjei³³	k j ei ³³	i m n t	k j ei - ³³	3644
#
673	Rangoon	corner / angle	670	thɑ̃u⁵³	tʰ ɑ̃ u ∼ ⁵³	i n N c t	tʰ ɑ̃ u ∼ ⁵³	3652
2442	Achang_Longchuan	corner / angle	670	a³¹tʂɔk⁵⁵	/ʔ a ³¹ + tʂ ɔ k ⁵⁵	i n t + i n c t	/ʔ a ³¹ + tʂ ɔ k ⁵⁵	5331 3651
4017	Xiandao	corner / angle	670	a³¹tʂhap⁵⁵	/ʔ a ³¹ + tʂh a p ⁵⁵	i n t + i n c t	/ʔ a ³¹ + tʂh a p ⁵⁵	5331 3654
5602	Atsi	corner / angle	670	tʃu̱n⁵¹	ˀtʃ u n ⁵¹	i n c t	ˀtʃ u - n ⁵¹	3652
7313	Maru	corner / angle	670	khjuk³¹	kh j u k ³¹	i m n c t	kh j u k ³¹	3653
8982	Bola	corner / angle	670	a³¹tʃɔ̱n⁵⁵	/ʔ a ³¹ + ˀtʃ ɔ n ⁵⁵	i n t + i n c t	/ʔ a ³¹ + ˀtʃ ɔ - n ⁵⁵	5331 3652
10649	Lashi	corner / angle	670	a³³tʃɔ̱n³³	/ʔ a ³³ + ˀtʃ ɔ n ³³	i n t + i n c t	/ʔ a ³³ + ˀtʃ ɔ - n ³³	5331 3652
#
160	Rangoon	corpse	160	ɑ⁵³lɑ̃u⁵⁵	/ʔ ɑ ⁵³ + l ɑ̃ u ∼ ⁵⁵	i n t + i n N c t	/ʔ ɑ ⁵³ + l - ɑ̃ u ∼ ⁵⁵	14991 3663
1980	Achang_Longchuan	corpse	160	ʂɿ⁵⁵mʐuaŋ⁵⁵	ʂ ɿ ⁵⁵ + m ʐ ua ŋ ⁵⁵	i n t + i m n c t	ʂ ɿ ⁵⁵ + m ʐ ua - ŋ ⁵⁵	3662 3663
3633	Xiandao	corpse	160	tʂu⁵⁵mɔŋ⁵⁵	tʂ u ⁵⁵ + m ɔ ŋ ⁵⁵	i n t + i n c t	tʂ u ⁵⁵ + m - ɔ - ŋ ⁵⁵	3665 3663
5094	Atsi	corpse	160	maŋ⁵¹	m a ŋ ⁵¹	i n c t	m - a - ŋ ⁵¹	3663
6866	Maru	corpse	160	mɔ̃³¹	m ɔ̃ ∼ ³¹	i n c t	m - ɔ̃ - ∼ ³¹	3663
8500	Bola	corpse	160	mɔ̃⁵⁵	m ɔ̃ ∼ ⁵⁵	i n c t	m - ɔ̃ - ∼ ⁵⁵	3663
10224	Lashi	corpse	160	maŋ³¹	m a ŋ ³¹	i n c t	m - a - ŋ ³¹	3663
11958	Old_Burmese	corpse	160	aʔ◦lo₂ṅḥ	ʔ a ⁵³ + l ʊ ŋ ⁵⁵	i n t + i n c t	ʔ a ⁵³ + l - ʊ - ŋ ⁵⁵	14991 3663
#
393	Rangoon	cotton	391	wɑ²²	/ʔ w ɑ ²²	i m n t	/ʔ w ɑ ²²	3676
2188	Achang_Longchuan	cotton	391	tu³¹u⁵⁵	t u ³¹ + /ʔ u ⁵⁵	i n t + i n t	t u - ³¹ + /ʔ - u ⁵⁵	3675 3676
3832	Xiandao	cotton	391	ta³¹u⁵⁵a³¹tʂɯŋ⁵⁵	t a ³¹ + /ʔ u ⁵⁵ + /ʔ a ³¹ + tʂ ɯ ŋ ⁵⁵	i n t + i n t + i n t + i n c t	t a - ³¹ + /ʔ - u ⁵⁵ + /ʔ a ³¹ + tʂ ɯ ŋ ⁵⁵	3675 3676 3677 3678
5326	Atsi	cotton	391	tăʔ²¹u̱⁵¹	t ă ʔ ²¹ + ˀ/ʔ u ⁵¹	i n c t + i n t	t ă ʔ ²¹ + ˀ/ʔ - u ⁵¹	3675 3676
7075	Maru	cotton	391	tə̆³¹a̱u³¹	t ə̆ ³¹ + ˀ/ʔ au ³¹	i n t + i n t	t ə̆ - ³¹ + ˀ/ʔ - au ³¹	3675 3676
8717	Bola	cotton	391	tə̆³¹u⁵⁵	t ə̆ ³¹ + /ʔ u ⁵⁵	i n t + i n t	t ə̆ - ³¹ + /ʔ - u ⁵⁵	3675 3676
10424	Lashi	cotton	391	taʔ³¹u̱³³	t a ʔ ³¹ + ˀ/ʔ u ³³	i n c t + i n t	t a ʔ ³¹ + ˀ/ʔ - u ³³	3675 3676
#
1377	Rangoon	cough	1366	tɕhɑ̃u⁵⁵sho⁵⁵	tɕʰ ɑ̃ u ∼ ⁵⁵ + sʰ o ⁵⁵	i n N c t + i n t	tɕʰ - ɑ̃ u ∼ ⁵⁵ + sʰ o - - ⁵⁵	3691 3692
3093	Achang_Longchuan	cough	1366	khʐɔŋ³¹tʂhau³¹	kʰ ʐ ɔ ŋ ³¹ + tʂʰ au ³¹	i m n c t + i n t	kʰ ʐ ɔ - ŋ ³¹ + tʂʰ au - - ³¹	3691 3692
4579	Xiandao	cough	1366	khʐoŋ³¹tʂhau³¹	khʐ o ŋ ³¹ + tʂh au ³¹	i n c t + i n t	khʐ - o - ŋ ³¹ + tʂh au - - ³¹	3691 3692
6310	Atsi	cough	1366	khjuŋ²¹tsa̱u²¹	kʰ j u ŋ ²¹ + ˀts a u ²¹	i m n c t + i n N t	kʰ j u - ŋ ²¹ + ˀts a u - ²¹	3691 3692
7951	Maru	cough	1366	khjauŋ³⁵tsu̱k⁵⁵	kh j au ŋ ³⁵ + ˀts u k ⁵⁵	i m n c t + i n c t	kh j au - ŋ ³⁵ + ˀts u - k ⁵⁵	3691 3692
9672	Bola	cough	1366	khjauŋ³⁵ta̱u³¹ta̱u³¹	khj au ŋ ³⁵ + ˀt au ³¹ + ˀt au ³¹	i n c t + i n t + i n t	khj - au - ŋ ³⁵ + ˀt au - - ³¹ + ˀt au ³¹	3691 3692 3693
11250	Lashi	cough	1366	khjuŋ⁵⁵tsa̱ːu⁵⁵	kh j u ŋ ⁵⁵ + ˀts aːu ⁵⁵	i m n c t + i n t	kh j u - ŋ ⁵⁵ + ˀts aːu - - ⁵⁵	3691 3692
11908	Old_Burmese	cough	1366	khyo₂ṅḥ◦chuiwḥ	kh j ʊ ŋ ⁵⁵ + tɕh ə w ⁵⁵	i m n c t + i n c t	kh j ʊ - ŋ ⁵⁵ + tɕh ə - w ⁵⁵	3691 3692
#
1537	Rangoon	count (numbers)	1524	je²²	/ʔ j e ²²	i m n t	/ʔ j e ²²	3712
3248	Achang_Longchuan	count (numbers)	1524	an³⁵	/ʔ a n ³⁵	i n c t	/ʔ a n ³⁵	2216
4719	Xiandao	count (numbers)	1524	an³⁵	/ʔ a n ³⁵	i n c t	/ʔ a n ³⁵	2216
6471	Atsi	count (numbers)	1524	ŋa̱p⁵⁵	ˀŋ a p ⁵⁵	i n c t	ˀŋ a p ⁵⁵	13122
8107	Maru	count (numbers)	1524	ŋɛ̱ʔ⁵⁵	ˀŋ ɛ ʔ ⁵⁵	i n c t	ˀŋ ɛ ʔ ⁵⁵	13122
9833	Bola	count (numbers)	1524	ŋɛ̱ʔ⁵⁵	ˀŋ ɛ ʔ ⁵⁵	i n c t	ˀŋ ɛ ʔ ⁵⁵	13122
11396	Lashi	count (numbers)	1524	ŋa̱ːp⁵⁵	ˀŋ aː p ⁵⁵	i n c t	ˀŋ aː p ⁵⁵	13122
11631	Old_Burmese	count (numbers)	1524	riy	r ə j ²²	i n c t	r ə j ²²	3711
#
1606	Rangoon	cover (the mouth)	1591	oʔ⁴	/ʔ o ʔ ⁴	i n c t	/ʔ o ʔ ⁴	3718
3315	Achang_Longchuan	cover (the mouth)	1591	ət³⁵	/ʔ ə t ³⁵	i n c t	/ʔ ə t ³⁵	3718
4784	Xiandao	cover (the mouth)	1591	tʂhum³⁵	tʂh u m ³⁵	i n c t	tʂh u m ³⁵	3720
6541	Atsi	cover (the mouth)	1591	ŋo̱p⁵⁵	ˀŋ o p ⁵⁵	i n c t	ˀŋ o p ⁵⁵	3718
8175	Maru	cover (the mouth)	1591	tshuk⁵⁵	tsh u k ⁵⁵	i n c t	tsh u k ⁵⁵	3719
9902	Bola	cover (the mouth)	1591	ŋø̱ʔ⁵⁵	ˀŋ ø ʔ ⁵⁵	i n c t	ˀŋ ø ʔ ⁵⁵	3718
11456	Lashi	cover (the mouth)	1591	ŋu̱ːp⁵⁵	ˀŋ uː p ⁵⁵	i n c t	ˀŋ uː p ⁵⁵	3718
11915	Old_Burmese	cover (the mouth)	1591	up	ʔ u p ⁴	i n c t	ʔ u p ⁴	3718
#
1690	Rangoon	cover / hide from view	1675	phõ⁵⁵	pʰ õ ∼ ⁵⁵	i n c t	pʰ õ ∼ ⁵⁵	3727
3392	Achang_Longchuan	cover / hide from view	1675	phum³¹	pʰ u m ³¹	i n c t	pʰ u m ³¹	3727
4850	Xiandao	cover / hide from view	1675	kɔŋ³¹	k ɔ ŋ ³¹	i n c t	k ɔ ŋ ³¹	3729
6625	Atsi	cover / hide from view	1675	ŋo̱p⁵⁵	ˀŋ o p ⁵⁵	i n c t	ˀŋ o p ⁵⁵	3728
8256	Maru	cover / hide from view	1675	kɔ³¹	k ɔ ³¹	i n t	k ɔ - ³¹	3729
9984	Bola	cover / hide from view	1675	ka⁵⁵	k a ⁵⁵	i n t	k a - ⁵⁵	3729
11519	Lashi	cover / hide from view	1675	kɔː³¹	k ɔː ³¹	i n t	k ɔː - ³¹	3729
#
1419	Rangoon	cover up (objects)	1408	tɕhõ²²	tɕʰ õ ∼ ²²	i n c t	tɕʰ õ ∼ ²²	3735
3133	Achang_Longchuan	cover up (objects)	1408	kuaŋ³¹	k ua ŋ ³¹	i n c t	k ua ŋ ³¹	3735
4615	Xiandao	cover up (objects)	1408	tshi³⁵	tsh i ³⁵	i n t	tsh i ³⁵	3737
6351	Atsi	cover up (objects)	1408	ŋo̱p⁵⁵	ˀŋ o p ⁵⁵	i n c t	ˀŋ o p ⁵⁵	3718
7991	Maru	cover up (objects)	1408	tsaŋ⁵⁵	ts a ŋ ⁵⁵	i n c t	ts a ŋ ⁵⁵	3735
9714	Bola	cover up (objects)	1408	ŋø̱ʔ⁵⁵	ˀŋ ø ʔ ⁵⁵	i n c t	ˀŋ ø ʔ ⁵⁵	3718
11288	Lashi	cover up (objects)	1408	ŋu̱ːp⁵⁵	ˀŋ uː p ⁵⁵	i n c t	ˀŋ uː p ⁵⁵	3718
#
1723	Rangoon	cow	1706	nwɑ⁵⁵mɑ⁵³	n w ɑ ⁵⁵ + m ɑ ⁵³	i m n t + i n t	n w ɑ - ⁵⁵ + m - ɑ ⁵³	3743 3745
3422	Achang_Longchuan	cow	1706	n̥o³¹tseŋ³⁵	n̥ o ³¹ + ts e ŋ ³⁵	i n t + i n c t	n̥ - o - ³¹ + ts e ŋ ³⁵	3743 15457
4880	Xiandao	cow	1706	no³¹mɔ³¹	n o ³¹ + m ɔ ³¹	i n t + i n t	n - o - ³¹ + m - ɔ ³¹	3743 3745
6658	Atsi	cow	1706	nŏ²¹mji̱⁵⁵	n ŏ ²¹ + ˀm j i ⁵⁵	i n t + i m n t	n - ŏ - ²¹ + ˀm j i ⁵⁵	3743 3745
8289	Maru	cow	1706	nŭŋ³⁵tsaŋ³¹	n ŭ ŋ ³⁵ + ts a ŋ ³¹	i n c t + i n c t	n - ŭ ŋ ³⁵ + ts a ŋ ³¹	3743 15457
10016	Bola	cow	1706	nɔ̆³¹taŋ⁵⁵	n ɔ̆ ³¹ + t a ŋ ⁵⁵	i n t + i n c t	n - ɔ̆ - ³¹ + t a ŋ ⁵⁵	3743 15457
11549	Lashi	cow	1706	nə̆³³mji⁵³	n ə̆ ³³ + m j i ⁵³	i n t + i m n t	n - ə̆ - ³³ + m j i ⁵³	3743 3745
12038	Old_Burmese	cow	1706	no₁ḥ◦maʔ	n o ⁵⁵ + m a ⁵³	i n t + i n t	n - o - ⁵⁵ + m - a ⁵³	3743 3745
#
651	Rangoon	crack / rift / fissure	649	ɛʔ⁴tɕɑ̃u⁵⁵	/ʔ ɛ ʔ ⁴ + tɕ ɑ̃ u ∼ ⁵⁵	i n c t + i n N c t	/ʔ ɛ ʔ ⁴ + tɕ ɑ̃ u ∼ ⁵⁵	3765 3766
2423	Achang_Longchuan	crack / rift / fissure	649	tiak³¹	t i a k ³¹	i m n c t	t i a k ³¹	3760
4001	Xiandao	crack / rift / fissure	649	pʐak³⁵	pʐ a k ³⁵	i n c t	pʐ a k ³⁵	3767
5580	Atsi	crack / rift / fissure	649	koʔ²¹kho⁵¹	k o ʔ ²¹ + kʰ o ⁵¹	i n c t + i n t	k o ʔ ²¹ + kʰ o ⁵¹	15609 3762
7298	Maru	crack / rift / fissure	649	kɔʔ³¹khu³¹	k ɔ ʔ ³¹ + kh u ³¹	i n c t + i n t	k ɔ ʔ ³¹ + kh u ³¹	15609 3764
8964	Bola	crack / rift / fissure	649	kaʔ³¹puŋ³⁵	k a ʔ ³¹ + p u ŋ ³⁵	i n c t + i n c t	k a ʔ ³¹ + p u ŋ ³⁵	15609 3763
#
895	Rangoon	cramped / narrow	892	tɕĩ⁵⁵tɕɑʔ⁴	tɕ ĩ ∼ ⁵⁵ + tɕ ɑ ʔ ⁴	i n c t + i n c t	tɕ ĩ ∼ ⁵⁵ + tɕ ɑ ʔ ⁴	3772 3771
2650	Achang_Longchuan	cramped / narrow	892	n̥ap⁵⁵	n̥ a p ⁵⁵	i n c t	n̥ a p ⁵⁵	3771
5825	Atsi	cramped / narrow	892	tʃa̱p⁵⁵	ˀtʃ a p ⁵⁵	i n c t	ˀtʃ a p ⁵⁵	3771
7526	Maru	cramped / narrow	892	tʃɛ̱ʔ⁵⁵	ˀtʃ ɛ ʔ ⁵⁵	i n c t	ˀtʃ ɛ ʔ ⁵⁵	3771
9206	Bola	cramped / narrow	892	tʃɛ̱ʔ⁵⁵	ˀtʃ ɛ ʔ ⁵⁵	i n c t	ˀtʃ ɛ ʔ ⁵⁵	3771
10853	Lashi	cramped / narrow	892	tʃiːn⁵⁵tʃa̱p⁵⁵	tʃ iː n ⁵⁵ + ˀtʃ a p ⁵⁵	i n c t + i n c t	tʃ iː n ⁵⁵ + ˀtʃ a p ⁵⁵	3772 3771
#
319	Rangoon	crane	317	tɕo⁵⁵tɕɑ²²	tɕ o ⁵⁵ + tɕ ɑ ²²	i n t + i n t	tɕ o ⁵⁵ + tɕ ɑ ²²	3782 3783
5253	Atsi	crane	317	kon⁵⁵phju⁵¹	k o n ⁵⁵ + pʰ j u ⁵¹	i n c t + i m n t	k o n ⁵⁵ + pʰ j u ⁵¹	3780 3781
#
1436	Rangoon	crawl (of insects)	1425	tθwɑ⁵⁵	tθ w ɑ ⁵⁵	i m n t	tθ w ɑ ⁵⁵	3787
3149	Achang_Longchuan	crawl (of insects)	1425	so³¹	s o ³¹	i n t	s o ³¹	18353
4631	Xiandao	crawl (of insects)	1425	so³¹	s o ³¹	i n t	s o ³¹	18353
6368	Atsi	crawl (of insects)	1425	to²¹	t o ²¹	i n t	t o - ²¹	3793
8007	Maru	crawl (of insects)	1425	tu³⁵	t u ³⁵	i n t	t u - ³⁵	3793
9731	Bola	crawl (of insects)	1425	tɔ³¹	t ɔ ³¹	i n t	t ɔ - ³¹	3793
11305	Lashi	crawl (of insects)	1425	tɔːʔ³¹	t ɔː ʔ ³¹	i n c t	t ɔː ʔ ³¹	3793
#
1435	Rangoon	crawl (of people)	1424	twɑ⁵⁵tθwɑ⁵⁵	t w ɑ ⁵⁵ + tθ w ɑ ⁵⁵	i m n t + i m n t	t w ɑ - ⁵⁵ + tθ w ɑ ⁵⁵	3793 3794
3148	Achang_Longchuan	crawl (of people)	1424	to³¹	t o ³¹	i n t	t - o - ³¹	3793
4630	Xiandao	crawl (of people)	1424	to³¹	t o ³¹	i n t	t - o - ³¹	3793
6367	Atsi	crawl (of people)	1424	to²¹	t o ²¹	i n t	t - o - ²¹	3793
8006	Maru	crawl (of people)	1424	tu³⁵	t u ³⁵	i n t	t - u - ³⁵	3793
9730	Bola	crawl (of people)	1424	tɔ³¹	t ɔ ³¹	i n t	t - ɔ - ³¹	3793
11304	Lashi	crawl (of people)	1424	tɔːʔ³¹	t ɔː ʔ ³¹	i n c t	t - ɔː ʔ ³¹	3793
12097	Old_Burmese	crawl (of people)	1424	to₁ḥ	t o ⁵⁵	i n t	t - o - ⁵⁵	3793
#
1228	Rangoon	crazy, become	1221	ju⁵⁵	/ʔ j u ⁵⁵	i m n t	/ʔ j u ⁵⁵	3805
2963	Achang_Longchuan	crazy, become	1221	vən⁵⁵	v ə n ⁵⁵	i n c t	v ə n ⁵⁵	3803
4474	Xiandao	crazy, become	1221	vɤn⁵⁵	v ɤ n ⁵⁵	i n c t	v ɤ n ⁵⁵	3803
6160	Atsi	crazy, become	1221	na²¹	n a ²¹	i n t	n a ²¹	3804
7820	Maru	crazy, become	1221	na³⁵	n a ³⁵	i n t	n a ³⁵	3804
9527	Bola	crazy, become	1221	na³¹	n a ³¹	i n t	n a ³¹	3804
11128	Lashi	crazy, become	1221	ju̱ː³³	ˀ/ʔ j uː ³³	i m n t	ˀ/ʔ j uː ³³	3805
#
1772	Rangoon	crisp / brittle	1755	tɕuʔ⁴	tɕ u ʔ ⁴	i n c t	tɕ u ʔ ⁴	3814
3470	Achang_Longchuan	crisp / brittle	1755	sɔp⁵⁵	s ɔ p ⁵⁵	i n c t	s - ɔ p ⁵⁵	3811
4924	Xiandao	crisp / brittle	1755	ʐom³¹	ʐ o m ³¹	i n c t	ʐ o m ³¹	18696
6706	Atsi	crisp / brittle	1755	khjop²¹	kʰ j o p ²¹	i m n c t	kʰ j o p ²¹	3811
8338	Maru	crisp / brittle	1755	khjɔp³¹	kh j ɔ p ³¹	i m n c t	kh j ɔ p ³¹	3811
10065	Bola	crisp / brittle	1755	sɔ̃³⁵	s ɔ̃ ∼ ³⁵	i n c t	s ɔ̃ ∼ ³⁵	18696
11592	Lashi	crisp / brittle	1755	ʃy̱ː³³	ˀʃ yː ³³	i n t	ˀʃ yː ³³	3813
#
378	Rangoon	crops	376	kɑuʔ⁴pɛ⁵⁵tθi⁵⁵n̥²²	k ɑ u ʔ ⁴ + p ɛ ⁵⁵ + tθ i ⁵⁵ + n̥ ²²	i n N c t + i n t + i n t + i t	k ɑ u ʔ ⁴ + p ɛ ⁵⁵ + tθ i ⁵⁵ + n̥ ²²	3824 3825 3826 3827
5310	Atsi	crops	376	xŭ²¹va²¹	x ŭ ²¹ + v a ²¹	i n t + i n t	x ŭ ²¹ + v a ²¹	3819 3820
7062	Maru	crops	376	xə̆⁵⁵vɔ³¹	x ə̆ ⁵⁵ + v ɔ ³¹	i n t + i n t	x ə̆ ⁵⁵ + v ɔ ³¹	3820 3823
8701	Bola	crops	376	xə̆³¹vɔ⁵¹	x ə̆ ³¹ + v ɔ ⁵¹	i n t + i n t	x ə̆ ³¹ + v ɔ ⁵¹	3820 3821
10411	Lashi	crops	376	jo³¹	/ʔ j o ³¹	i m n t	/ʔ j o ³¹	3822
#
1266	Rangoon	cross (a bridge)	1259	phjɑʔ⁴ku⁵⁵	pʰ j ɑ ʔ ⁴ + k u ⁵⁵	i m n c t + i n t	pʰ j ɑ ʔ ⁴ + k - u ⁵⁵	3833 3840
3001	Achang_Longchuan	cross (a bridge)	1259	kʐo³¹	k ʐ o ³¹	i m n t	k ʐ o ³¹	3840
4508	Xiandao	cross (a bridge)	1259	pun³¹	p u n ³¹	i n c t	p u n ³¹	3834
6200	Atsi	cross (a bridge)	1259	ku²¹	k u ²¹	i n t	k - u ²¹	3840
7857	Maru	cross (a bridge)	1259	kau³⁵	k au ³⁵	i n t	k - au ³⁵	3840
9566	Bola	cross (a bridge)	1259	lai³¹	l ai ³¹	i n t	l ai ³¹	3832
11162	Lashi	cross (a bridge)	1259	kuː³³	k uː ³³	i n t	k - uː ³³	3840
#
1194	Rangoon	cross (a river)	1188	ku⁵⁵	k u ⁵⁵	i n t	k - u ⁵⁵	3840
2935	Achang_Longchuan	cross (a river)	1188	kʐo³¹	k ʐ o ³¹	i m n t	k ʐ o ³¹	3840
4450	Xiandao	cross (a river)	1188	vai³¹	v ai ³¹	i n t	v - ai ³¹	3840
6128	Atsi	cross (a river)	1188	ku²¹	k u ²¹	i n t	k - u ²¹	3840
7792	Maru	cross (a river)	1188	kau³⁵	k au ³⁵	i n t	k - au ³⁵	3840
9499	Bola	cross (a river)	1188	ku³¹	k u ³¹	i n t	k - u ³¹	3840
11105	Lashi	cross (a river)	1188	kuː³³	k uː ³³	i n t	k - uː ³³	3840
11884	Old_Burmese	cross (a river)	1188	kuḥ	k u ⁵⁵	i n t	k - u ⁵⁵	3840
#
1667	Rangoon	cross / pass	1652	tɕɔ²²	tɕ ɔ ²²	i n t	tɕ ɔ ²²	3852
3371	Achang_Longchuan	cross / pass	1652	tʂam⁵⁵	tʂ a m ⁵⁵	i n c t	tʂ a m ⁵⁵	3849
6602	Atsi	cross / pass	1652	lut²¹	l u t ²¹	i n c t	l u t ²¹	3850
8233	Maru	cross / pass	1652	løʔ³¹	l ø ʔ ³¹	i n c t	l ø ʔ ³¹	3850
9961	Bola	cross / pass	1652	xəi³⁵lai³¹	x əi ³⁵ + l ai ³¹	i n t + i n t	x əi ³⁵ + l ai - ³¹	3851 3850
11503	Lashi	cross / pass	1652	laːi³³	l aːi ³³	i n t	l aːi - ³³	3850
#
323	Rangoon	crow	321	tɕi⁵⁵kɑ̃⁵⁵	tɕ i ⁵⁵ + k ɑ̃ ∼ ⁵⁵	i n t + i n c t	tɕ - i - ⁵⁵ + k ɑ̃ ∼ ⁵⁵	3857 3863
2126	Achang_Longchuan	crow	321	kă³¹lam³¹	k ă ³¹ + l a m ³¹	i n t + i n c t	k - ă - ³¹ + l a m ³¹	3857 3858
3775	Xiandao	crow	321	kak⁵⁵	k a k ⁵⁵	i n c t	k - a k ⁵⁵	3857
5257	Atsi	crow	321	ŋŏ̱ʔ⁵⁵noʔ²¹	ˀŋ ă ʔ ⁵⁵ + n o ʔ ²¹	i n c t + i n c t	ˀŋ ă ʔ ⁵⁵ + n o ʔ ²¹	3859 3860
7012	Maru	crow	321	kəʔ³¹nɔʔ³¹	k ə ʔ ³¹ + n ɔ ʔ ³¹	i n c t + i n c t	k - ə ʔ ³¹ + n ɔ ʔ ³¹	3857 3860
8649	Bola	crow	321	kə̆³¹naʔ³¹	k ə̆ ³¹ + n a ʔ ³¹	i n t + i n c t	k - ə̆ - ³¹ + n a ʔ ³¹	3857 3860
10362	Lashi	crow	321	ŋɔ̱̆ʔ⁵⁵nɔʔ³¹	ˀŋ ɔ̆ ʔ ⁵⁵ + n ɔ ʔ ³¹	i n c t + i n c t	ˀŋ ɔ̆ ʔ ⁵⁵ + n ɔ ʔ ³¹	3861 3860
11948	Old_Burmese	crow	321	taṅ◦kliḥ	t a ŋ ²² + k l i ⁵⁵	i n c t + i m n t	t a ŋ ²² + k l i - ⁵⁵	3862 3857
#
1328	Rangoon	crow (of cocks)	1319	tũ²²	t ũ ∼ ²²	i n c t	t ũ ∼ ²²	3873
3049	Achang_Longchuan	crow (of cocks)	1319	thun⁵⁵	tʰ u n ⁵⁵	i n c t	tʰ u n ⁵⁵	3873
4543	Xiandao	crow (of cocks)	1319	thun⁵⁵	th u n ⁵⁵	i n c t	th u n ⁵⁵	3873
6262	Atsi	crow (of cocks)	1319	tu̱n⁵¹	ˀt u n ⁵¹	i n c t	ˀt u n ⁵¹	3873
7907	Maru	crow (of cocks)	1319	tu̱m³¹	ˀt u m ³¹	i n c t	ˀt u m ³¹	3873
9626	Bola	crow (of cocks)	1319	tɔ̱n⁵⁵	ˀt ɔ n ⁵⁵	i n c t	ˀt ɔ n ⁵⁵	3873
11208	Lashi	crow (of cocks)	1319	tu̱ːn³³	ˀt uː n ³³	i n c t	ˀt uː n ³³	3873
#
1329	Rangoon	crow (of hens)	1320	kɑ⁵³tɔ²²	k ɑ ⁵³ + t ɔ ²²	i n t + i n t	k ɑ ⁵³ + t ɔ ²²	3882 3885
3050	Achang_Longchuan	crow (of hens)	1320	tək³¹	t ə k ³¹	i n c t	t ə k ³¹	3881
4544	Xiandao	crow (of hens)	1320	tʐɔt³⁵	tʐ ɔ t ³⁵	i n c t	tʐ ɔ t ³⁵	3886
